GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgav.utilsnsgav,ReadFile,152,0,24,0,21,0,15,0,3,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgav.utilsnsgav,utilsCSVtoLatex,272,0,16,0,52,0,11,0,3,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgav.utilsnsgav,writeMatrix2CSV,977,0,60,0,183,0,40,0,10,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgav.utilsnsgav,GeneratorLatexTable,429,0,34,0,79,0,22,0,5,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgav.utilsnsgav,ReadMatrixCSV,593,0,72,0,146,0,43,0,7,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgav.utilsnsgav,writeCSV,76,0,6,0,12,0,5,0,2,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.wasfga.util,WASFGARankingConstraint,303,0,46,0,62,0,27,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.wasfga.util,WASFGARanking,137,0,10,0,26,0,10,0,5,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.wasfga.util,WeightVector.NORMALIZE,38,0,0,0,1,0,4,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.wasfga.util,WeightVector,265,0,20,0,51,0,14,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.gde3,GDE3,380,0,28,0,85,0,35,0,21,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.gde3,GDE3Builder,80,0,0,0,23,0,11,0,11,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.abyss,ABYSSBuilder,161,0,0,0,45,0,20,0,20,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.abyss,ABYSS,178,1036,19,73,33,199,20,47,4,17
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.spea2.util,EnvironmentalSelection.new Comparator() {...},32,0,4,0,6,0,4,0,2,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.spea2.util,EnvironmentalSelection,327,0,40,0,73,0,22,0,2,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.spea2,SPEA2,165,0,4,0,40,0,13,0,11,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.spea2,SPEA2Builder,133,0,8,0,35,0,17,0,13,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.evolutionstrategy.util,CMAESUtils,1231,0,94,0,184,0,60,0,13,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.coralreefsoptimization,CoralReefsOptimizationBuilder,308,0,22,0,68,0,39,0,28,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.coralreefsoptimization,CoralReefsOptimization,404,0,30,0,79,0,30,0,15,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.gwasfga,GWASFGA,138,0,6,0,26,0,8,0,5,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.particleswarmoptimization,StandardPSO2007,606,0,46,0,101,0,44,0,21,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.particleswarmoptimization,StandardPSO2011,820,0,56,0,124,0,49,0,21,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.evolutionstrategy,EvolutionStrategyBuilder,97,0,4,0,23,0,11,0,9,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.evolutionstrategy,EvolutionStrategyBuilder.EvolutionStrategyVariant,38,0,0,0,1,0,4,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.evolutionstrategy,ElitistEvolutionStrategy,183,0,14,0,39,0,19,0,12,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.evolutionstrategy,NonElitistEvolutionStrategy,165,0,12,0,37,0,18,0,12,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.evolutionstrategy,CovarianceMatrixAdaptationEvolutionStrategy.Builder,41,0,0,0,15,0,6,0,6,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.evolutionstrategy,CovarianceMatrixAdaptationEvolutionStrategy,1290,0,82,0,180,0,64,0,23,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgaii,NSGAII,65,22,2,0,16,8,10,1,9,1
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgaii,NSGAIIBuilder,52,145,5,9,6,37,4,17,1,13
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgaii,SteadyStateNSGAII,85,0,0,0,18,0,6,0,6,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgaii,NSGAIIMeasures,183,0,4,0,43,0,14,0,12,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgaii,NSGAIIStoppingByTime,87,0,8,0,22,0,11,0,7,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgaii,NSGAII45,310,0,18,0,70,0,23,0,14,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgaii,NSGAIIBuilder.NSGAIIVariant,9,49,0,0,0,1,2,2,2,2
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.omopso,OMOPSOBuilder,78,0,0,0,23,0,12,0,12,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.omopso,OMOPSO,578,0,42,0,101,0,39,0,18,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.pesa2,PESA2,193,0,10,0,43,0,16,0,11,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.pesa2,PESA2Builder,165,0,10,0,40,0,20,0,15,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.differentialevolution,DifferentialEvolution,160,27,10,0,34,9,18,1,13,1
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.differentialevolution,DifferentialEvolutionBuilder,0,117,0,4,0,29,0,15,0,13
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mochc,MOCHCBuilder,134,0,0,0,41,0,22,0,22,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mochc,MOCHC45,430,0,30,0,82,0,22,0,7,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mochc,MOCHC,423,0,30,0,87,0,31,0,16,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.pesa2.util,PESA2Selection,99,0,12,0,25,0,8,0,2,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.rnsgaii.util,PreferenceNSGAII,124,0,8,0,25,0,10,0,6,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.rnsgaii.util,RNSGAIIRanking,422,0,36,0,83,0,24,0,6,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.ibea,IBEABuilder,112,0,0,0,32,0,14,0,14,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.ibea,IBEA,681,0,54,0,132,0,37,0,10,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.smpso,SMPSOBuilder,305,0,2,0,80,0,41,0,40,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.smpso,SMPSO,695,0,44,0,127,0,48,0,26,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.smpso,SMPSOMeasures,120,0,2,0,28,0,10,0,9,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.smpso,SMPSOBuilder.SMPSOVariant,38,0,0,0,1,0,4,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.rnsgaii,RNSGAII,77,0,2,0,19,0,10,0,9,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.rnsgaii,RNSGAIIBuilder,154,0,8,0,40,0,18,0,14,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.rnsgaii,RNSGAIIBuilder.NSGAIIVariant,58,0,0,0,1,0,4,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.cellde,CellDE45,386,0,22,0,76,0,22,0,11,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.cellde,CellDE,3,0,0,0,1,0,1,0,1,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.moead,MOEAD,140,0,6,0,32,0,8,0,5,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.moead,MOEADSTM,1077,0,80,0,186,0,55,0,15,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.moead,MOEADBuilder.Variant,68,0,0,0,1,0,4,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.moead,AbstractMOEAD.FunctionType,48,0,0,0,1,0,4,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.moead,ConstraintMOEAD,299,0,28,0,65,0,20,0,6,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.moead,MOEADD,3984,0,462,0,760,0,263,0,29,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.moead,AbstractMOEAD.NeighborType,38,0,0,0,1,0,4,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.moead,MOEADDRA,381,0,26,0,73,0,20,0,7,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.moead,AbstractMOEAD,801,0,70,0,152,0,48,0,13,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.moead,MOEADBuilder,303,0,10,0,60,0,29,0,24,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgav,NSGAVBuilder.NSGAVVariant,28,0,0,0,1,0,4,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgav,NSGAV,1863,0,200,0,352,0,133,0,33,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgav,NSGAVBuilder,149,0,10,0,39,0,19,0,14,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgaiii.util,ReferencePoint,265,0,20,0,50,0,24,0,14,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgaiii.util,EnvironmentalSelection,926,0,94,0,148,0,63,0,16,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgaiii.util,EnvironmentalSelection.Builder,40,0,0,0,14,0,10,0,10,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.dmopso,DMOPSOBuilder.DMOPSOVariant,38,0,0,0,2,0,4,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.dmopso,DMOPSOBuilder,329,0,4,0,90,0,45,0,43,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.dmopso,DMOPSOMeasures,200,0,2,0,38,0,11,0,10,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.dmopso,DMOPSO,1360,0,88,0,243,0,73,0,29,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.dmopso,DMOPSO.FunctionType,48,0,0,0,2,0,4,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.abyss.util,MarkAttribute,0,3,0,0,0,1,0,1,0,1
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.paes,PAES,207,0,14,0,53,0,24,0,17,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.paes,PAESBuilder,55,0,0,0,17,0,11,0,11,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi.util,ASFUtilityFunctionSet,185,0,16,0,33,0,14,0,6,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi.util,R2Ranking.new Comparator() {...},38,0,4,0,9,0,4,0,2,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi.util,R2Ranking,211,0,18,0,43,0,17,0,8,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi.util,R2SolutionData,12,0,0,0,4,0,1,0,1,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi.util,R2RankingNormalized,244,0,22,0,46,0,16,0,5,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi.util,Normalizer,40,0,0,0,7,0,2,0,2,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi.util,MOMBI2History,327,0,28,0,46,0,23,0,9,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi.util,ASFWASFGA,254,0,22,0,45,0,19,0,8,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi.util,TchebycheffUtilityFunctionsSet,89,0,8,0,17,0,7,0,3,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi.util,R2RankingNormalized.new Comparator() {...},38,0,4,0,9,0,4,0,2,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi.util,R2RankingAttribute,3,0,0,0,1,0,1,0,1,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi.util,AbstractUtilityFunctionsSet,240,0,16,0,44,0,15,0,7,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi,MOMBI.new Comparator() {...},38,0,4,0,9,0,4,0,2,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi,AbstractMOMBI,391,0,28,0,78,0,33,0,19,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi,MOMBI2,398,0,30,0,62,0,24,0,9,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mombi,MOMBI,173,0,10,0,37,0,18,0,13,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.gwasfga.util,GWASFGARanking,206,0,16,0,37,0,12,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.smsemoa,SMSEMOA,225,0,12,0,51,0,18,0,12,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.smsemoa,SMSEMOABuilder,112,0,0,0,33,0,16,0,16,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.randomsearch,RandomSearchBuilder,25,0,0,0,8,0,4,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.randomsearch,RandomSearch,48,0,2,0,14,0,7,0,6,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.moead.util,MOEADUtils,250,0,22,0,55,0,16,0,5,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgaiii,NSGAIIIBuilder,73,0,0,0,26,0,15,0,15,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgaiii,NSGAIII,350,0,14,0,73,0,22,0,15,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.wasfga,WASFGA,236,0,10,0,53,0,22,0,17,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.wasfga,WASFGAMeasures,117,0,2,0,28,0,11,0,10,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.geneticalgorithm,GeneticAlgorithmBuilder.GeneticAlgorithmVariant,38,0,0,0,1,0,4,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.geneticalgorithm,SteadyStateGeneticAlgorithm,175,0,8,0,40,0,15,0,11,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.geneticalgorithm,GenerationalGeneticAlgorithm,110,0,2,0,27,0,10,0,9,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.singleobjective.geneticalgorithm,GeneticAlgorithmBuilder,139,0,4,0,34,0,17,0,15,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mocell,MOCellBuilder.MOCellVariant,48,0,0,0,1,0,4,0,4,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mocell,MOCell,382,0,16,0,72,0,22,0,14,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.mocell,MOCellBuilder,173,0,8,0,41,0,20,0,16,0
org.uma.jmetal:jmetal-algorithm,org.uma.jmetal.algorithm.multiobjective.nsgav.utilsPopulation,utilsPopulation,224,0,18,0,35,0,15,0,6,0
